"Nancy Larrick","11341"
"Kenneth Klein","10724"
"Raeann Hart","14965"
"Ruth Warrick","5203"
"George Dawson","13234"
"Keith Jarrett","8760"
"Patricia Arrigoni","9812"
"Beate Klarsfeld","11098"
"John White","12098"
"Siobhan Adcock","10421"
"Virginia Allen Jensen","1151"
"Jason Wilson","5377"
"Linda Ashman","12703"
"Annelie Ortmanns","3328"
"Cyndy Salzmann","2124"
"Cathleen Toelke","730"
"Sebastian Faulks","1354"
"Butch Guice","12722"
"PIERS ANTHONY","2189"
"Jonquet","13542"
"Brian M. Thomsen","11616"
"Laurie Boucke","12584"
"Elizabeth George","1876"
"Norber","3523"
"Robert Chesley","2064"
"Kristen Stagg","8961"
"Elizabeth Strout","779"
"Chris Bull","7721"
"Manil Suri","1542"
"Brock Cole","1423"
"Jody A. Lee","1756"
"Joseph Rutt","7095"
"Lauren Wilde","6490"
"Andrea Boeshaar","4518"
"Peter F. Hamilton","3710"
"Madeleine L'engle","15263"
"George Gibian","3287"
"Sarah Bird","9416"
"Ben Dimagmaliw","295"
"Sam Kieth","296"
"Todd A. McIntosh","7382"
"John Le Carré","2742"
"Mary Mayer Holmes","11634"
"Diane Farr","1839"
"Harry Lawrence","14095"
"Tracy McGuinness","2716"
"Sue Bishop","5125"
"Jael","8586"
"Mitchell Graham","9462"
"Paule Constant","9979"
"Gordon S. Haight","4004"
"Leo Marx","163"
"Archer Mayor","6113"
"Sidney Sheldon","484"
"Gabrielle Williams","6582"
"Wu Ningkun","12012"
"Deborah Scott","4831"
"Stewart Lee Allen","5234"
"Campbell","13183"
"Roderick Anscombe","7272"
"Andre West","6980"
"Goddard","6073"
"James Thurber","2778"
"Kim Newman","7064"
"Robin A. White","1844"
"Liz Fielding","8971"
"Joyce C. Oates","15560"
"Thomas Wolfe","11271"
"Harry Stein","6027"
"Whitecap Books","7284"
"Stanley Kunitz","10914"
"Gardner R. Dozois","15627"
"Candida Fraze","15212"
"Stephen Cosgrove","4781"
"Michael LeBoeuf","9186"
"Wayne Koestenbaum","422"
"Sandy Petro","14860"
"Chuck Slack","12894"
"Janice Bennett","11612"
"E. A. Proulx","7835"
"Mary McBride","7566"
"Daniel Menaker","9901"
"Anne Higgins","4327"
"Caroline Sharp","13369"
"Ted Landphair","5558"
"James W. Loewen","1896"
"Helen MacInnes","15288"
"Barry Denenberg","4417"
"Jill Paton Walsh","12577"
"Pat McGrath Avery","6021"
"Katharina Schmidt","8156"
"Peg Ross","2736"
"Tina Herzig","3742"
"Stephanie Howard","11586"
"Ed Zotti","10448"
"Peter J. Heck","9168"
"Celine Bastian","15522"
"Stanley Corngold","5733"
"Art Buchwald","14326"
"Lillian M. Hines","2317"
"David Milstead","5647"
"David Cordingly","12"
"Denis Johnson","14620"
"John Le Carre","1998"
"Jean Dominiqu Bauby","2537"
"Richard Moran","1303"
"Ken Rose","11466"
"Larry J. Hughes","6634"
"Susan Schwartz","10601"
"Mario Mariotti","6911"
"Mark Donnelly","5666"
"Katharine Burdekin","5751"
"Naomi Wolf","6213"
"Glenn Glasow","11497"
"John Suiter","10873"
"Tom Shachtman","3830"
"Thomas Erskine","8649"
"Geoffrey Wall","6211"
"Leisha Kelly","2405"
"Matt Witten","11820"
"Roy S. Johnson","9908"
"Robin (& Anne McCaffrey) Wood","13032"
"David Bradley","9429"
"Steven Piziks","11573"
"Jennifer L. Holm","12673"
"Dave Duncan","9343"
"Ronny Gr","13850"
"Danelle Morton","7012"
"Winston Graham","7164"
"Harlynne Geisler","9323"
"M.D. Epstein","9424"
"Michael Pearce","9437"
"Diane Tidd","10370"
"Irmela Arnsberger","7789"
"Mark Epstein","13142"
"John Mordock","1007"
"Christoph Ransmayr","13472"
"Elisabeth Burgos-Debray","13133"
"Brother Andrew","14938"
"Chip Silverman","12107"
"John Searles","3448"
"Hanns Peter Karr","9544"
"Peter Berling","3067"
"James McFarlane","3217"
"Sarah Strohmeyer","13175"
"Robert Siegel","3278"
"Christine Westermann","8770"
"Rev. W. Awdry","10244"
"Kathryn M. Drennan","4827"
"Stuart M. Kaminsky","5105"
"Eugene Stiles","5460"
"William J. Bennett","3755"
"Alexander Games","11724"
"Mike Corbishley","2022"
"Sarah-Kate Lynch","11195"
"Christina Dodd","2823"
"Terri Fields","8621"
"Leonard B. Scott","4044"
"Eds. Leisure Arts","12743"
"Regina Oehler Fultz","7415"
"Tanya Anne Crosby","9744"
"Marti Olsen Laney Psy.D.","10440"
"Obrien","13324"
"Ann Patchett","356"
"Geralyn Dawson","13178"
"Matilde Olivella Castells","9111"
"Terry McMillan","1600"
"With James Southwood Saunders","14189"
"Xavier Einstein","7763"
"Brooke Siler","1940"
"Julian F. Thompson","13907"
"Nahum N. Glatzer","5438"
"Beverley Harper","7796"
"Michael Lewis","155"
"Bette Lord","7935"
"W. Wilkie Collins","2345"
"Jack Vance","9996"
"Kathy Tyers","3070"
"Arkadia","12155"
"Gerald A. Browne","6778"
"Doug Lansky","3612"
"Julie Ellis","15320"
"Gerard Del Re","4545"
"Joan Steiner","13523"
"Yutaka Satoh","9698"
"Lorraine Bodger","14249"
"Louise Redd","12397"
"Karen X. Tulchinsky","790"
"Kenneth Wilkinson","10436"
"Sandra Day O'Connor","6284"
"Cora Stephan","4797"
"L. HEATH","1850"
"Jack Hamm","4168"
"Richard Zoozmann","9082"
"Charlotte MacLeod","4614"
"Janet Schulman","12049"
"JAMES A. MICHENER","14412"
"Georgeson V","8556"
"Sandrina Kurtz","10484"
"Florence Temko","6041"
"Michel Onfray","13623"
"Julian Gough","2622"
"Azar Nafisi","2207"
"Frank DeCaro","1703"
"Anton Chaitkin","12930"
"Terry Castle","13299"
"J.D. Robb","63"
"Tom Kidd","9243"
"Eike Schönfeld","7985"
"Doug Munson","5562"
"Ron Beyma","9859"
"Michael Toms","8759"
"Margaret Yorke","12225"
"Sukehiro Tomita","15464"
"Helga Krüger","8597"
"Michael Fedo","15209"
